id;user_id;email;token;confirmed;expired;updated_at
1;reintermediate;Mylene92@hotmail.com;Lead;false;true;2021-05-23T21:29:12
2;Administrator Cross-group;Hadley.Harvey26@gmail.com;Interactions Frozen Producer;false;true;2021-05-23T13:37:37
3;payment Jordan;Lorenza_Hartmann@gmail.com;Norfolk Island;true;true;2021-05-23T17:57:00
4;Concrete Manat synthesize;Ernestina.Morar13@yahoo.com;solutions maximized;true;true;2021-05-24T10:40:45
5;deliverables Awesome Stravenue;Jon.Upton46@yahoo.com;Customer methodologies;true;false;2021-05-23T18:44:47
6;Granite invoice;Jarvis39@hotmail.com;Fresh Mobility THX;true;false;2021-05-23T18:52:21
7;AGP Specialist;Lorine.Huel26@yahoo.com;high-level backing up;false;true;2021-05-23T14:19:48
8;blue task-force Grocery;Beulah.Lesch@hotmail.com;cyan Savings Account hacking;false;true;2021-05-23T20:16:18
9;synthesizing Concrete Awesome;Onie_Skiles@yahoo.com;reintermediate;false;false;2021-05-24T00:15:26
10;Course Human;Fermin.Ward@hotmail.com;grey Directives Sleek Metal Chicken;true;false;2021-05-23T13:34:02
