id;invite_key;email;invited_by_id;user_id;redeemed_at;deleted_at;deleted_by_id;invalidated_at;moderator;custom_message;emailed_status;max_redemptions_allowed;redemption_count;expires_at;email_token
1;Manager disintermediate;Chaim_Fay@gmail.com;invoice Product User-friendly;connect revolutionize;2021-05-23T12:01:54;2021-05-23T22:49:03;relationships Awesome Concrete Ball;2021-05-23T12:16:05;true;benchmark;2440;35421;98119;2021-05-24T01:01:36;withdrawal hacking white
2;National programming Unbranded Rubber Table;Addie.Stiedemann@hotmail.com;infrastructures Berkshire Metal;Fresh JBOD Seamless;2021-05-24T06:32:20;2021-05-24T10:04:15;Identity optical Progressive;2021-05-23T15:54:19;false;open-source Chad Credit Card Account;71786;26536;38503;2021-05-24T02:03:18;Corporate Visionary enterprise
3;Customer-focused Grocery Ouguiya;Marianna.Nader96@hotmail.com;interactive synergistic reboot;haptic Metal Oklahoma;2021-05-24T11:16:21;2021-05-24T04:15:13;solid state;2021-05-23T13:55:49;true;Engineer;29125;93628;95952;2021-05-24T06:01:40;Swiss Franc Avon Vietnam
4;Ethiopian Birr Global;Minnie_DAmore@hotmail.com;transmit;Metal mindshare Group;2021-05-23T22:45:33;2021-05-23T12:07:03;optical Kroon;2021-05-24T02:21:08;true;navigating open-source;19430;52162;31446;2021-05-24T09:22:14;Program Money Market Account parse
5;Refined Granite Pizza Ford;Courtney65@gmail.com;Programmable;sky blue Delaware;2021-05-24T01:44:52;2021-05-24T00:11:01;Fresh;2021-05-23T20:29:07;false;teal Marshall Islands;88537;42815;70382;2021-05-23T18:47:23;Minnesota Automotive Highway
6;virtual Antarctica (the territory South of 60 deg S) Implemented;Elizabeth.Osinski3@gmail.com;generate payment Wisconsin;client-server Money Market Account;2021-05-23T20:41:58;2021-05-24T07:10:14;Tasty Plastic Ball SDD;2021-05-24T00:56:43;false;olive purple;61089;82348;10121;2021-05-24T04:29:53;Unbranded Granite Pizza process improvement
7;Soap synergize vortals;Louisa76@gmail.com;haptic Representative;PCI;2021-05-24T04:43:00;2021-05-23T22:57:00;Practical;2021-05-24T05:57:26;true;Pizza Massachusetts budgetary management;85563;51172;70304;2021-05-23T20:41:44;Buckinghamshire Keyboard 1080p
8;Agent;Natalia12@yahoo.com;Ball calculate Tasty Fresh Pants;Borders;2021-05-24T02:59:42;2021-05-24T11:15:59;Savings Account Locks;2021-05-23T14:25:15;false;ADP Keys Incredible;16092;96290;19169;2021-05-23T13:25:17;Personal Loan Account Handmade Granite Keyboard
9;Architect strategic compressing;Paul_Pfannerstill91@hotmail.com;upward-trending West Virginia;embrace Corporate Pants;2021-05-24T02:50:00;2021-05-23T20:20:50;Bedfordshire Dale Administrator;2021-05-24T09:57:04;false;Avon Afghani Investment Account;13038;97882;84712;2021-05-23T18:21:35;Borders
10;Table Wisconsin;Stanley_Crooks@hotmail.com;matrix;Dynamic eyeballs Borders;2021-05-24T06:34:52;2021-05-24T05:43:33;non-volatile;2021-05-23T15:59:23;false;copy networks Awesome Granite Hat;13402;73924;57035;2021-05-23T13:14:46;bandwidth-monitored compress
