id;key;user_id;unsubscribe_key_type;topic_id;post_id
1;AGP navigate;Pants Upgradable;North Carolina Wooden;26030;18263
2;protocol;Cambridgeshire;hybrid;66836;69568
3;systemic customized;Baby;Mauritius Rupee best-of-breed;86469;64465
4;Platinum background;purple syndicate;Money Market Account data-warehouse Shirt;90983;17422
5;Steel e-business;asymmetric Mandatory;methodologies Mission;47850;90265
6;Brand Bedfordshire Director;indexing Sleek Metal Fish Balboa US Dollar;Forward Practical Ways;85071;19361
7;bleeding-edge;B2C Courts;Incredible Central Tools;65381;49283
8;Cambridgeshire;orange transmitting;PNG XML SMTP;61279;82639
9;Algeria Bolivia;grey;Square Directives;97554;92017
10;content-based Moldovan Leu Parkways;RAM Corporate Manager;AI core Awesome Plastic Table;78107;50406
