id;provider_name;provider_uid;user_id;last_used;info;credentials;extra
1;Maine Plastic USB;Plastic Automotive Paraguay;Automated;2021-05-23T18:30:39;connect indexing tan;Automotive;cyan content-based
2;transmitter monitor;Auto Loan Account;synthesize;2021-05-23T13:40:04;Metrics bleeding-edge;Minnesota Ouguiya neural;backing up copying Refined Concrete Pizza
3;Savings Account;invoice South Carolina National;solid state Checking Account portals;2021-05-24T07:01:32;Car Valleys;morph Usability;Metical
4;JBOD;Soft;digital;2021-05-24T11:29:03;Chief Licensed Rubber Shoes;relationships Home Loan Account;Executive
5;Health;Handcrafted Fresh Table RAM Assurance;Solutions redefine;2021-05-23T15:51:56;Forint Orchestrator;Home Cambridgeshire collaborative;Awesome Plastic Pizza e-services niches
6;Regional;Phased;transition;2021-05-23T23:21:19;feed;Chief compress;Frozen
7;Drives;Central Baby copying;Cambodia Practical Soft Sausages;2021-05-24T13:20:12;Credit Card Account wireless Fantastic;Practical Horizontal;Global GB
8;Sports deliverables;Dynamic Practical Buckinghamshire;copying methodologies;2021-05-23T18:26:25;Outdoors;Global;bypass bandwidth-monitored
9;bricks-and-clicks Idaho Car;supply-chains;clicks-and-mortar;2021-05-24T06:40:02;Toys Direct;emulation payment Product;mobile
10;Mississippi Synchronised;Highway Toys attitude-oriented;bypass;2021-05-23T20:48:55;Intranet;Kentucky;alarm Philippine Peso
