id;user_id;email;jhi_primary
1;Licensed Fresh Chips digital regional;Alexane_Murazik75@yahoo.com;true
2;override;Nat7@yahoo.com;true
3;Greens vertical index;Angus16@gmail.com;true
4;Wooden;Marcia_Hauck71@yahoo.com;false
5;hacking payment primary;Arielle.Predovic@hotmail.com;false
6;Moldovan Leu benchmark;Rasheed.Gutmann52@gmail.com;true
7;aggregate;Lucas_Von6@yahoo.com;false
8;alarm Avon;Rachael_Friesen@hotmail.com;true
9;payment;Jazmyn.Smith@gmail.com;false
10;Automotive;Camron.Rath@hotmail.com;true
