id;user_id;credential_id;public_key;factor_type;enabled;name;last_used
1;85082;copying ROI;withdrawal Soap Indian Rupee;88938;true;Canadian Dollar;2021-05-23T20:27:37
2;57215;Buckinghamshire Ghana;Afghani Handmade index;2286;true;redundant alarm;2021-05-24T10:38:37
3;20629;Bedfordshire Fiji Dollar Security;open system invoice parsing;74277;false;magenta Frozen;2021-05-24T04:46:16
4;32984;rich Car protocol;Licensed Steel Hat;31356;true;indigo Steel invoice;2021-05-24T05:46:41
5;39081;Assistant Ergonomic Concrete Gloves;yellow Movies;66758;false;Borders target copy;2021-05-24T03:06:28
6;45299;Prairie bluetooth cross-platform;invoice firewall;13508;true;Chips Tugrik experiences;2021-05-23T23:42:59
7;36916;Licensed Granite Chicken pixel;Metal strategize;19694;false;granular French Southern Territories parsing;2021-05-23T22:26:52
8;23786;Palestinian Territory;Central Uruguay;64482;true;Global neural-net;2021-05-23T15:33:26
9;95966;navigating;Cliff Future-proofed;21639;false;Multi-channelled primary innovative;2021-05-23T14:51:09
10;56556;human-resource local area network;Manager methodical firewall;66521;false;multi-byte iterate;2021-05-23T14:05:24
